title	type	url_slug	venue	date	location	talk_url	description
Detecting Botnet Nodes via Structural Node Representation Learning	Talk	detecting-botnet-nodes	IEEE Big Data Conference 2021	2021-12-01	Virtual Conference		This talk presented research on detecting botnet nodes through structural node representation learning, offering an approach that enhances detection efficiency while reducing computational cost.
2FWL-SIRGN: A Scalable Structural 2-dimensional Folklore Weisfeiler Lehman Graph Representation Learning Approach Via Structural Graph Partitioning	Talk	2fwl-sirgn	IEEE Big Data Conference 2024	2024-12-01	Virtual Conference		This talk introduced 2FWL-SIRGN, a scalable approach to graph representation learning that combines the 2-dimensional Folklore Weisfeiler Lehman Isomorphism Test with novel structural graph partitioning, designed for efficient large-scale applications.
